effectiveness, depth, time
0.02733, 38, 8
0.02733, 38, 7
0.02733, 38, 7
0.028661, 38, 8
0.0282274, 38, 7
0.027332, 37, 7
0.0286227, 38, 10
0.0274327, 37, 11
0.02733, 38, 8
0.027684, 35, 9
0.0305593, 37, 7
0.02733, 38, 7
0.02733, 38, 8
0.0284008, 38, 7
0.0278661, 36, 7
0.02733, 38, 8
0.02733, 38, 7
0.02733, 38, 13
0.02733, 38, 9
0.02733, 38, 8
0.0305927, 37, 10
0.0279666, 34, 9
0.0281452, 38, 13
0.02733, 38, 7
0.0282021, 33, 9
0.0273741, 38, 10
0.0273611, 37, 8
0.02733, 38, 8
0.02733, 38, 9
0.0278299, 30, 10