id, effectiveness
0, 0.02733
1, 0.0263097
0, 0.0264286
1, 0.0262193
2, 0.0260854
3, 0.0255245
4, 0.0254285
5, 0.0253272
6, 0.0252502
0, 0.0253042
1, 0.0248731
2, 0.0247828
3, 0.0247668
4, 0.0247701
5, 0.0246128
6, 0.0245116
7, 0.0244444
8, 0.0244569
9, 0.0243076
0, 0.0246767
1, 0.0244473
0, 0.0244854
1, 0.0243571
2, 0.0242808
0, 0.0243644
1, 0.0241436
2, 0.0241282
3, 0.0240723
4, 0.0238709
0, 0.0239702
1, 0.0238942
2, 0.0239071
3, 0.0238019
4, 0.0238066
5, 0.0238101
6, 0.0237844
7, 0.0236435
8, 0.0236418
9, 0.0236571
10, 0.0236196
11, 0.0236261
0, 0.0236561
1, 0.0236552
2, 0.0235652
3, 0.0235836
4, 0.0235828
5, 0.0235536
6, 0.0234799
7, 0.0233875
0, 0.0234119
1, 0.0234129
2, 0.0234267
3, 0.0233708
4, 0.0233094
5, 0.0232889
6, 0.0232349
7, 0.0232142
8, 0.0231954
9, 0.0231418
10, 0.0231337
11, 0.0230796
12, 0.0230727
13, 0.0230674
14, 0.0230369
15, 0.0230385
0, 0.0231953
1, 0.0231244
2, 0.0230576
0, 0.0230926
1, 0.0230094
0, 0.0230356
1, 0.0229553
2, 0.0229629
3, 0.0229478
4, 0.0229334
5, 0.0229047
6, 0.0228894
7, 0.0228166
8, 0.022783
0, 0.0228143
1, 0.0228338
2, 0.0228191
0, 0.0228432
1, 0.0228106
2, 0.0228227
3, 0.0228227
4, 0.0228173
5, 0.0228018
6, 0.0227946
7, 0.0227759
8, 0.0227171
9, 0.0227103
10, 0.0226414
11, 0.0226225
12, 0.022592
13, 0.022611
14, 0.022628
15, 0.0226212
16, 0.0226415
17, 0.022623
18, 0.022637
19, 0.0226197
20, 0.0226246
21, 0.0226209
22, 0.022627
23, 0.0226203
24, 0.022625
25, 0.0226004
26, 0.0225933
27, 0.0225981
28, 0.0225557
29, 0.0225489
30, 0.0224995
31, 0.0225044
32, 0.0224531
33, 0.0224289
34, 0.0224403
35, 0.0224542
36, 0.0224475
37, 0.0224635
38, 0.0224686
39, 0.0224799
0, 0.0225711
1, 0.0225541
2, 0.022537
3, 0.0225179
4, 0.0225008
5, 0.0224935
6, 0.022475
7, 0.0224581
8, 0.0224381
9, 0.0224197
10, 0.0223914
11, 0.0223745
12, 0.0223823
13, 0.022364
14, 0.0223297
15, 0.0222929
16, 0.0222775
17, 0.0222884
18, 0.0223031
19, 0.0222862
20, 0.0223032
21, 0.0222851
22, 0.022296
23, 0.0222793
0, 0.0224034
1, 0.0223803
2, 0.0223603
3, 0.0223353
4, 0.0223155
5, 0.0222906
6, 0.0223002
7, 0.0222808
8, 0.022256
9, 0.0222646
10, 0.0222457
11, 0.0222211
12, 0.0222183
13, 0.0222052
14, 0.0221867
15, 0.022163
16, 0.0221383
17, 0.0221564
18, 0.0221361
19, 0.0221123
20, 0.0221044
21, 0.0221165
22, 0.0221315
23, 0.0221132
24, 0.0220881
25, 0.0221052
26, 0.0221171
0, 0.0221498
1, 0.0221423
2, 0.0221334
3, 0.0221259
4, 0.022117
5, 0.0221095
6, 0.0221071
7, 0.0220983
8, 0.0220908
9, 0.022082
10, 0.0220037
11, 0.0219968
12, 0.0219954
13, 0.0219959
14, 0.0219911
15, 0.0219749
16, 0.0219318
17, 0.0219487
18, 0.0219304
19, 0.0219275
20, 0.0219145
21, 0.0218889
22, 0.0218841
23, 0.0218774
24, 0.0218717
25, 0.0218854
26, 0.0218649
27, 0.0218598
28, 0.0218342
29, 0.0218378
30, 0.0218302
31, 0.0218255
32, 0.0218234
33, 0.0217978
34, 0.0218009
35, 0.0217932
36, 0.0217932
0, 0.0218735
1, 0.0218582
2, 0.0218444
3, 0.0218261
4, 0.0218093
5, 0.021822
6, 0.0218038
7, 0.0218108
8, 0.021794
9, 0.0218002
10, 0.0218037
11, 0.0218083
12, 0.0217902
13, 0.0217979
14, 0.0217811
15, 0.0217855
16, 0.0217783
0, 0.021847
1, 0.0218309
2, 0.0218128
3, 0.021795
4, 0.0217872
5, 0.0217691
6, 0.0217513
7, 0.0217547
8, 0.0217366
9, 0.0217421
10, 0.0217243
11, 0.0217086
12, 0.0217172
13, 0.0217248
14, 0.0217326
15, 0.0217146
16, 0.0217248
17, 0.0217071
18, 0.0217143
0, 0.021812
1, 0.021795
2, 0.0217871
3, 0.0217686
4, 0.0217599
5, 0.0217766
6, 0.0217582
7, 0.0217495
8, 0.0217445
9, 0.0217261
10, 0.0217174
11, 0.021695
12, 0.0216764
13, 0.0216841
14, 0.0216755
15, 0.021685
16, 0.0216777
17, 0.0216874
18, 0.0216966
19, 0.0217058
20, 0.0217058
21, 0.0216956
22, 0.021707
23, 0.0216901
24, 0.0216981
25, 0.0216888
0, 0.0217727
1, 0.0217671
2, 0.0217592
3, 0.0217522
4, 0.0217425
5, 0.0217355
6, 0.021726
7, 0.0217376
8, 0.0217307
9, 0.0217211
10, 0.021714
11, 0.0217071
12, 0.0216975
13, 0.0216639
14, 0.0216475
15, 0.0216404
16, 0.021634
17, 0.0216243
18, 0.0216323
19, 0.0216418
20, 0.0216379
21, 0.021647
22, 0.0216561
23, 0.0216651
24, 0.0216581
25, 0.0216691
26, 0.0216596
27, 0.0216677
28, 0.0216402
29, 0.0216429
30, 0.0216459
31, 0.0216485
32, 0.0216513
33, 0.0216539
34, 0.0216567
35, 0.0216295
36, 0.0216321
37, 0.0216349
38, 0.0216375
39, 0.0216225
40, 0.0216253
41, 0.0216074
42, 0.02161
43, 0.0216128
44, 0.0215866
45, 0.0215601
46, 0.0215627
47, 0.0215478
48, 0.0215507
49, 0.0215437
50, 0.0215482