effectiveness,depth,time
0.00861694, 41, 339
0.008615, 41, 337
0.00861694, 41, 335
0.0086439, 41, 359
0.00861694, 41, 384
0.008615, 41, 388
0.00861694, 41, 394
0.00861694, 41, 400
0.00861694, 41, 384
0.00862413, 41, 429
0.00861694, 41, 400
0.00861694, 41, 389
0.008615, 41, 391
0.00861694, 41, 403
0.00861694, 41, 415
0.00862413, 41, 492
0.008615, 41, 323
0.00861694, 41, 325
0.008615, 41, 332
0.0086439, 41, 337
0.008615, 41, 347
0.008615, 41, 361
0.00861694, 41, 380
0.008615, 41, 385
0.008615, 41, 407
0.008615, 41, 401
0.008615, 41, 403
0.008615, 41, 372
0.00861694, 41, 393
0.00861694, 41, 377